Tipo de Credor;Credor;Modalidade de Contratação;Fase;Contrato;IG;Moeda de Origem;Valor Contratado;Valor Cancelado;Valor Desembolsar;Valor Desembolsado;Saldo Devedor;Valor Amortizado
Agências Governamentais;CREDIT;Ag.Gov Pd;Amortizando;PROT.FRANCES;1298;EUR;256.584.643,02;0;0;256.584.643,02;9.610.764,45;43.352.355,71
Agências Governamentais;EXIMBANK;Ag. Gov 3;Concluído;EXIMBANK7460;83;USD;195.113.459,28;0;0;195.113.459,28;0;120.436.667,09
Agências Governamentais;KFW;Ag Gov Var;Amortizando;KFW8990-0102;1384;USD;620.688.800,49;30.270.818,61;0;620.688.800,49;47.799.132,15;12.272.399,85
Agências Governamentais;KFW;Ag Gov Var;Concluído;KFW/CARLZEIS;1463;EUR;140.392.335,23;0;0;140.392.335,23;0;3.562.682,52
Agências Governamentais;KFW;Ag.Gov Pd;Concluído;KFW/DORNIER;1405;EUR;30.418.672,16;0;0;30.418.672,16;0;903.463,74
Agências Governamentais;KFW;Ag.Gov Pd;Concluído;KFW7165541;1184;EUR;6.101.211,09;0;0;6.101.211,09;0;6.101.211,09
Agências Governamentais;KFW;Ag.Gov Pd;Amortizando;KFW(PI);1361;EUR;34.034.104,79;10.041,80;0;34.034.104,79;2.259.568,06;20.426.487,90
Agências Governamentais;KFW;Ag.Gov Pd;Concluído;KFW(CE);1149;EUR;25.629.757,85;1.605.559,39;0;25.629.757,85;0;25.629.757,85
Agências Governamentais;KFW;Ag.Gov Pd;Concluído;KFW9065095;1064;EUR;66.584.563,20;0;0;33.082.047,77;0;33.082.047,77
Agências Governamentais;SEK;Ag Gov Var;Desembolsando;SEK-FX2-USD;11774;USD;950.585.310,00;0;783.438.062,40;167.147.247,60;167.147.247,60;0
Agências Governamentais;SEK;Ag Gov Var;Desembolsando;SEK-FX2-SEK;11775;SEK;17.281.854.764,04;0;11.964.732.173,37;5.317.122.590,67;5.317.122.590,67;0
Agências Governamentais;USAID;USAID;Concluído;USAID512L60;500190;USD;1.518.814,89;0;0;1.518.814,89;0;1.518.814,97
Agências Governamentais;JBIC;JBIC/JICA;Concluído;JBIC/SP-SC;501645;JPY;1.824.742.014,74;0;0;1.824.742.014,74;0;64.800.725,41
Agências Governamentais;USAID;USAID;Concluído;USAID512L076;500006;USD;10.043.830,33;0;0;7.777.111,16;0;7.777.111,16
Agências Governamentais;USAID;USAID;Concluído;USAID512L078;196;USD;123.993.600,00;0;0;91.389.119,50;0;91.389.119,50
Agências Governamentais;USAID;USAID Cron;Concluído;USAIDL153ABR;1355;USD;217.677.921,09;0;0;217.677.921,09;0;217.677.921,09
Agências Governamentais;USAID;USAID Cron;Concluído;USAID-TFCA;1616;USD;32.393.690,84;0;0;32.393.690,84;0;11.620.407,17
Agências Governamentais;USAID;USAID Cron;Concluído;USAID512L077;119;USD;31.457.428,92;0;0;31.457.428,92;0;31.457.428,92
Agências Governamentais;USAID;USAID Cron;Concluído;USAID512L054;500549;USD;31.882.954,15;0;0;18.067.007,72;0;18.067.007,72
Credores Privados;BAMB;CredPrivVa;Concluído;BAMB67303;1217;USD;4.814.681.886,76;177.050.020,91;0;4.814.681.886,76;0;4.814.681.886,76
Credores Privados;BANKLEUMILEBM;CredPrivVa;Concluído;LEUMI/BNP-AL-X;1480;USD;174.328.780,96;10.899.808,80;0;174.328.780,96;0;174.328.780,96
Credores Privados;BBVA;CredPrivVa;Concluído;BBVA OP BRA 01 009/97;1404;EUR;74.445.296,41;0;0;74.445.296,41;0;8.933.435,55
Credores Privados;BBVA;CredPrivVa;Amortizando;BBVA-P3/CLX;1527;USD;2.594.316.284,31;113.122.719,69;0;2.594.316.284,31;474.757.022,87;658.738,63
Agências Governamentais;JBIC;JBIC/JICA;Concluído;BZ-P5/OECF;501176;JPY;267.740.646,20;0;0;267.740.646,20;0;257.967.327,02
Credores Privados;BNP;CredPrivAD;Concluído;BNP-COUGAR F;1425;USD;220.607.282,44;105.908.987,17;0;220.607.282,44;0;567.655,91
Credores Privados;BNP;CredPrivVa;Concluído;PARIBAS;1394;USD;2.407.575,05;1.764.975.741,95;0;2.407.575,05;0;750.455,76
Credores Privados;BNP;CredPrivVa;Concluído;BNPPARIB-AMX;1575;EUR;202.432.435,36;174.880.089,44;0;202.432.435,36;0;17.174.943,68
Credores Privados;BNP;CredPrivVa;Concluído;BNPPARIB SAG;1446;EUR;23.670.374,85;0;0;23.670.374,85;0;3.218.196,94
Credores Privados;BNP;CredPrivVa;Desembolsando e Amortizando;PROSUB1BRNAV;1599;EUR;19.196.072.913,70;0;9.931.194.100,76;9.264.878.812,94;2.395.426.103,01;1.008.670.020,62
Credores Privados;BNP;CredPrivVa;Amortizando;BNP S/N-0102;1386;USD;739.907.233,86;25.927.612,14;0;739.907.233,86;40.467.857,22;19.884.421,82
Credores Privados;Deutsche BK;CredPrivVa;Concluído;DEUTSCHE/FOR;1440;USD;11.912.531,41;0;0;11.912.531,41;0;11.912.531,41
Credores Privados;EFIBANCA;CredPrivVa;Concluído;EFIBANCA90M;1392;USD;85.939.290,72;262.792.709,28;0;85.939.290,72;0;5.077.514,55
Credores Privados;FOCEM;CredPrivVa;Em negociação;FOCEM-BAS;11773;USD;0;0;0;0;0;0
Credores Privados;RBC-Cayman;CredPrivPd;Amortizando;RBC-CAYMAN;501621;USD;617.045,35;43.315,69;0;476.236,29;216.155,56;0
Agências Governamentais;JBIC;JBIC/JICA;Concluído;JBIC/BR-381;501660;JPY;625.258.523,85;326.780.788,19;0;625.258.523,85;0;80.077.832,70
Credores Privados;Societe Generale;CredPrivVa;Desembolsando e Amortizando;SOCGENPROJ-HX;1601;EUR;7.830.436.891,89;0;2.167.173.806,87;5.663.263.085,02;2.572.267.866,59;0
Organismos Multilaterais;BID;BID FSO;Concluído;BID760/SFBR;122;USD;99.037.050,87;0;0;99.037.050,87;0;99.037.050,87
Organismos Multilaterais;BID;BID FSO;Concluído;BID880/OCBR - C;501620;USD;0;345.139.146,14;0;0;0;345.139.146,14
Organismos Multilaterais;BID;BID FSO;Concluído;BID883/SFBR;1046;USD;85.245.600,00;0;0;83.255.716,42;20.813.928,73;83.255.716,42
Organismos Multilaterais;BID;BID FSO;Concluído;BID767/OCBR-C;501477;USD;0;38,75;0;0;55.038.025,72;495.342.230,84
Organismos Multilaterais;BID;BID FSO;Concluído;BID856/SFBR;889;USD;189.372.031,50;0;0;189.372.031,50;28.964.969,86;48.274.949,68
Organismos Multilaterais;BID;BID FSO;Concluído;BID1013/SFBR;1292;USD;85.278.375,27;7.716.824,73;0;85.278.375,27;36.547.158,97;45.683.948,77
Organismos Multilaterais;BID;BID FSO;Concluído;BID622/OCBR-C;861;USD;0;3,87;0;0;215.334.301,71;502.446.704,19
Organismos Multilaterais;BID;BID FSO;Concluído;BID878/SFBR;501602;USD;48.435.000,00;0;0;48.435.000,00;12.108.750,00;48.435.000,00
Organismos Multilaterais;BID;BID FSO;Concluído;BID12/CDBR;5;CAD;2.409.128,39;0;0;1.159.950,72;356.907,93;1.159.950,72
Agências Governamentais;JBIC;JBIC/JICA;Concluído;JBIC/REEQ.;1396;JPY;257.738.191,82;0,04;0;257.738.191,82;0;87.369.520,76
Organismos Multilaterais;BID;BID FSO;Concluído;BID814/OCBR;1171;USD;37.267.863,29;1.480.136,71;0;37.267.863,29;7.453.572,72;37.267.863,29
Agências Governamentais;JBIC;JBIC/JICA;Amortizando;JBICBZ-P14;1515;JPY;122.923.570,61;3.838.700,75;0;122.923.570,61;63.121.017,38;6.710.248,53
Agências Governamentais;JBIC;JBIC/JICA;Concluído;JBIC-FINEP;501671;JPY;118.828.169,88;0;0;117.851.008,93;0;117.851.008,93
Agências Governamentais;JBIC;JBIC/JICA;Concluído;JBIC;1401;JPY;369.665.215,99;82.866,81;0;369.665.215,99;0;93.700.713,63
Agências Governamentais;JBIC;JBIC/JICA;Concluído;JICA/PRODIII;1143;JPY;206.015.118,31;46.240.038,67;0;206.015.118,31;0;206.015.118,31
